"party","city","cityName","ctr","ctrName","pop"
"http://dbpedia.org/resource/Italian_Left","http://dbpedia.org/resource/San_Felice_del_Benaco","San Felice del Benaco","http://dbpedia.org/resource/Italy","Italy",3414
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/San_Gimignano","San Gimignano","http://dbpedia.org/resource/Italy","Italy",7780
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/San_Giorgio_a_Cremano","San Giorgio a Cremano","http://dbpedia.org/resource/Italy","Italy",47244
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/San_Giorgio_delle_Pertiche","San Giorgio delle Pertiche","http://dbpedia.org/resource/Italy","Italy",8617
"http://dbpedia.org/resource/Five_Star_Movement","http://dbpedia.org/resource/San_Mauro_Torinese","San Mauro Torinese","http://dbpedia.org/resource/Italy","Italy",18925
"http://dbpedia.org/resource/Lista_Civica","http://dbpedia.org/resource/San_Pietro_in_Gu","San Pietro in Gu","http://dbpedia.org/resource/Italy","Italy",4483
"http://dbpedia.org/resource/The_People_of_Freedom","http://dbpedia.org/resource/San_Salvo","San Salvo","http://dbpedia.org/resource/Italy","Italy",18646
"http://dbpedia.org/resource/Lista_civica","http://dbpedia.org/resource/Saracinesco","Saracinesco","http://dbpedia.org/resource/Italy","Italy",185
"http://dbpedia.org/resource/Five_Star_Movement","http://dbpedia.org/resource/Sarego","Sarego","http://dbpedia.org/resource/Italy","Italy",6794
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Sassuolo","Sassuolo","http://dbpedia.org/resource/Italy","Italy",40219
"http://dbpedia.org/resource/Free_Democratic_Party_of_Switzerland","http://dbpedia.org/resource/Rorschach,_Switzerland","Rorschach, Switzerland","http://dbpedia.org/resource/Switzerland","Switzerland",
"http://dbpedia.org/resource/Social_Democratic_Party_of_Switzerland","http://dbpedia.org/resource/Schaffhausen","Schaffhausen","http://dbpedia.org/resource/Switzerland","Switzerland",
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","http://dbpedia.org/resource/Schlanders","Schlanders","http://dbpedia.org/resource/Italy","Italy",5990
"http://dbpedia.org/resource/Südtiroler_Volkspartei","http://dbpedia.org/resource/Schnals","Schnals","http://dbpedia.org/resource/Italy","Italy",1345
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Bari","Bari","http://dbpedia.org/resource/Italy","Italy",316491
"http://dbpedia.org/resource/Centre-right","http://dbpedia.org/resource/Barletta","Barletta","http://dbpedia.org/resource/Italy","Italy",94477
"http://dbpedia.org/resource/Civic_list_(Italy)","http://dbpedia.org/resource/Bassiano","Bassiano","http://dbpedia.org/resource/Italy","Italy",1664
"http://dbpedia.org/resource/Civic_list_(Italy)","http://dbpedia.org/resource/Battipaglia","Battipaglia","http://dbpedia.org/resource/Italy","Italy",50281
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Bergamo","Bergamo","http://dbpedia.org/resource/Italy","Italy",121200
